image_path,title,description,destination_url,board,template,product_folder
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\aac_board_standalone\ask_help_aac_board_template_a_pin_1000x1500.png,Help AAC Board | Low-Prep Differentiated Activities,"Try Help AAC Board for printable, visual, and structured learning support. Perfect for SPED, autism support, and intervention groups. #teacherspayteachers #sped #specialed",https://www.teacherspayteachers.com/Product/Empower-Teens-Communication-Ask-for-Help-with-Period-Support-AAC-Boards-15715037,Small Wins Studio,template_a,life_skills/ask_for_help/aac_board_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\aac_board_standalone\ask_help_aac_board_template_b_pin_1000x1500.png,Why Help AAC Board Helps SPED Learners,"Help AAC Board supports structured routines, independence, and clear visual practice. Use in task boxes, centers, or small groups. #specialeducation #autismclassroom #printandgo",https://www.teacherspayteachers.com/Product/Empower-Teens-Communication-Ask-for-Help-with-Period-Support-AAC-Boards-15715037,Small Wins Studio,template_b,life_skills/ask_for_help/aac_board_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\aac_board_standalone\ask_help_aac_board_template_c_pin_1000x1500.png,Small Wins With Help AAC Board,Build confidence with Help AAC Board: low-prep activities designed for differentiated support. Great for IEP-aligned practice. #spedteacher #differentiation #classroomcenters,https://www.teacherspayteachers.com/Product/Empower-Teens-Communication-Ask-for-Help-with-Period-Support-AAC-Boards-15715037,Small Wins Studio,template_c,life_skills/ask_for_help/aac_board_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\bundle_story_pocket_routine\ask_help_bundle_template_a_pin_1000x1500.png,Help Bundle | Low-Prep Differentiated Activities,"Try Help Bundle for printable, visual, and structured learning support. Perfect for SPED, autism support, and intervention groups. #teacherspayteachers #sped #specialed",https://www.teacherspayteachers.com/Product/Empower-Teenage-Girls-Master-Menstruation-Routines-with-Visual-Support-BUNDLE-15715708,Small Wins Studio,template_a,life_skills/ask_for_help/bundle_story_pocket_routine
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\bundle_story_pocket_routine\ask_help_bundle_template_b_pin_1000x1500.png,Why Help Bundle Helps SPED Learners,"Help Bundle supports structured routines, independence, and clear visual practice. Use in task boxes, centers, or small groups. #specialeducation #autismclassroom #printandgo",https://www.teacherspayteachers.com/Product/Empower-Teenage-Girls-Master-Menstruation-Routines-with-Visual-Support-BUNDLE-15715708,Small Wins Studio,template_b,life_skills/ask_for_help/bundle_story_pocket_routine
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\bundle_story_pocket_routine\ask_help_bundle_template_c_pin_1000x1500.png,Small Wins With Help Bundle,Build confidence with Help Bundle: low-prep activities designed for differentiated support. Great for IEP-aligned practice. #spedteacher #differentiation #classroomcenters,https://www.teacherspayteachers.com/Product/Empower-Teenage-Girls-Master-Menstruation-Routines-with-Visual-Support-BUNDLE-15715708,Small Wins Studio,template_c,life_skills/ask_for_help/bundle_story_pocket_routine
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\cutouts_standalone\ask_help_cutouts_template_a_pin_1000x1500.png,Help Cutouts | Low-Prep Differentiated Activities,"Try Help Cutouts for printable, visual, and structured learning support. Perfect for SPED, autism support, and intervention groups. #teacherspayteachers #sped #specialed",https://www.teacherspayteachers.com/Product/Empower-Teens-to-Confidently-Ask-for-Help-with-Period-Support-Alternate-Visuals-15715024,Small Wins Studio,template_a,life_skills/ask_for_help/cutouts_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\cutouts_standalone\ask_help_cutouts_template_b_pin_1000x1500.png,Why Help Cutouts Helps SPED Learners,"Help Cutouts supports structured routines, independence, and clear visual practice. Use in task boxes, centers, or small groups. #specialeducation #autismclassroom #printandgo",https://www.teacherspayteachers.com/Product/Empower-Teens-to-Confidently-Ask-for-Help-with-Period-Support-Alternate-Visuals-15715024,Small Wins Studio,template_b,life_skills/ask_for_help/cutouts_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\cutouts_standalone\ask_help_cutouts_template_c_pin_1000x1500.png,Small Wins With Help Cutouts,Build confidence with Help Cutouts: low-prep activities designed for differentiated support. Great for IEP-aligned practice. #spedteacher #differentiation #classroomcenters,https://www.teacherspayteachers.com/Product/Empower-Teens-to-Confidently-Ask-for-Help-with-Period-Support-Alternate-Visuals-15715024,Small Wins Studio,template_c,life_skills/ask_for_help/cutouts_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\mini_book_ring_standalone\ask_help_mini_book_ring_template_a_pin_1000x1500.png,Help Mini Book Ring | Low-Prep Differentiated Activities,"Try Help Mini Book Ring for printable, visual, and structured learning support. Perfect for SPED, autism support, and intervention groups. #teacherspayteachers #sped #specialed",https://www.teacherspayteachers.com/Product/Empower-Teenage-Independence-Master-Asking-for-Help-AAC-Mini-Book-Ring-bind-15714987,Small Wins Studio,template_a,life_skills/ask_for_help/mini_book_ring_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\mini_book_ring_standalone\ask_help_mini_book_ring_template_b_pin_1000x1500.png,Why Help Mini Book Ring Helps SPED Learners,"Help Mini Book Ring supports structured routines, independence, and clear visual practice. Use in task boxes, centers, or small groups. #specialeducation #autismclassroom #printandgo",https://www.teacherspayteachers.com/Product/Empower-Teenage-Independence-Master-Asking-for-Help-AAC-Mini-Book-Ring-bind-15714987,Small Wins Studio,template_b,life_skills/ask_for_help/mini_book_ring_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\mini_book_ring_standalone\ask_help_mini_book_ring_template_c_pin_1000x1500.png,Small Wins With Help Mini Book Ring,Build confidence with Help Mini Book Ring: low-prep activities designed for differentiated support. Great for IEP-aligned practice. #spedteacher #differentiation #classroomcenters,https://www.teacherspayteachers.com/Product/Empower-Teenage-Independence-Master-Asking-for-Help-AAC-Mini-Book-Ring-bind-15714987,Small Wins Studio,template_c,life_skills/ask_for_help/mini_book_ring_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\mini_book_wallet_standalone\ask_help_mini_book_wallet_template_a_pin_1000x1500.png,Help Mini Book Wallet | Low-Prep Differentiated Activities,"Try Help Mini Book Wallet for printable, visual, and structured learning support. Perfect for SPED, autism support, and intervention groups. #teacherspayteachers #sped #specialed",https://www.teacherspayteachers.com/Product/Teenage-AAC-PERIOD-SUPPORT-HOW-TO-ASK-FOR-HELP-AT-SCHOOL-SPED-AUSTISM-15707195,Small Wins Studio,template_a,life_skills/ask_for_help/mini_book_wallet_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\mini_book_wallet_standalone\ask_help_mini_book_wallet_template_b_pin_1000x1500.png,Why Help Mini Book Wallet Helps SPED Learners,"Help Mini Book Wallet supports structured routines, independence, and clear visual practice. Use in task boxes, centers, or small groups. #specialeducation #autismclassroom #printandgo",https://www.teacherspayteachers.com/Product/Teenage-AAC-PERIOD-SUPPORT-HOW-TO-ASK-FOR-HELP-AT-SCHOOL-SPED-AUSTISM-15707195,Small Wins Studio,template_b,life_skills/ask_for_help/mini_book_wallet_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\mini_book_wallet_standalone\ask_help_mini_book_wallet_template_c_pin_1000x1500.png,Small Wins With Help Mini Book Wallet,Build confidence with Help Mini Book Wallet: low-prep activities designed for differentiated support. Great for IEP-aligned practice. #spedteacher #differentiation #classroomcenters,https://www.teacherspayteachers.com/Product/Teenage-AAC-PERIOD-SUPPORT-HOW-TO-ASK-FOR-HELP-AT-SCHOOL-SPED-AUSTISM-15707195,Small Wins Studio,template_c,life_skills/ask_for_help/mini_book_wallet_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\mini_books_bundle\ask_help_mini_books_bundle_template_a_pin_1000x1500.png,Help Mini Books Bundle | Low-Prep Differentiated Activities,"Try Help Mini Books Bundle for printable, visual, and structured learning support. Perfect for SPED, autism support, and intervention groups. #teacherspayteachers #sped #specialed",https://www.teacherspayteachers.com/Product/Empower-Your-Students-to-Confidently-Ask-for-Help-Essential-Menstruation-Bundle-15715095,Small Wins Studio,template_a,life_skills/ask_for_help/mini_books_bundle
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\mini_books_bundle\ask_help_mini_books_bundle_template_b_pin_1000x1500.png,Why Help Mini Books Bundle Helps SPED Learners,"Help Mini Books Bundle supports structured routines, independence, and clear visual practice. Use in task boxes, centers, or small groups. #specialeducation #autismclassroom #printandgo",https://www.teacherspayteachers.com/Product/Empower-Your-Students-to-Confidently-Ask-for-Help-Essential-Menstruation-Bundle-15715095,Small Wins Studio,template_b,life_skills/ask_for_help/mini_books_bundle
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\mini_books_bundle\ask_help_mini_books_bundle_template_c_pin_1000x1500.png,Small Wins With Help Mini Books Bundle,Build confidence with Help Mini Books Bundle: low-prep activities designed for differentiated support. Great for IEP-aligned practice. #spedteacher #differentiation #classroomcenters,https://www.teacherspayteachers.com/Product/Empower-Your-Students-to-Confidently-Ask-for-Help-Essential-Menstruation-Bundle-15715095,Small Wins Studio,template_c,life_skills/ask_for_help/mini_books_bundle
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\pocket_cards_standalone\ask_help_pocket_cards_template_a_pin_1000x1500.png,Help Pocket Cards | Low-Prep Differentiated Activities,"Try Help Pocket Cards for printable, visual, and structured learning support. Perfect for SPED, autism support, and intervention groups. #teacherspayteachers #sped #specialed",https://www.teacherspayteachers.com/Product/Empower-Your-Students-Master-Teenage-AAC-Period-Support-How-to-Ask-for-Help-15707239,Small Wins Studio,template_a,life_skills/ask_for_help/pocket_cards_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\pocket_cards_standalone\ask_help_pocket_cards_template_b_pin_1000x1500.png,Why Help Pocket Cards Helps SPED Learners,"Help Pocket Cards supports structured routines, independence, and clear visual practice. Use in task boxes, centers, or small groups. #specialeducation #autismclassroom #printandgo",https://www.teacherspayteachers.com/Product/Empower-Your-Students-Master-Teenage-AAC-Period-Support-How-to-Ask-for-Help-15707239,Small Wins Studio,template_b,life_skills/ask_for_help/pocket_cards_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\pocket_cards_standalone\ask_help_pocket_cards_template_c_pin_1000x1500.png,Small Wins With Help Pocket Cards,Build confidence with Help Pocket Cards: low-prep activities designed for differentiated support. Great for IEP-aligned practice. #spedteacher #differentiation #classroomcenters,https://www.teacherspayteachers.com/Product/Empower-Your-Students-Master-Teenage-AAC-Period-Support-How-to-Ask-for-Help-15707239,Small Wins Studio,template_c,life_skills/ask_for_help/pocket_cards_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\routine_strips_standalone\ask_help_routine_strips_template_a_pin_1000x1500.png,Help Routine Strips | Low-Prep Differentiated Activities,"Try Help Routine Strips for printable, visual, and structured learning support. Perfect for SPED, autism support, and intervention groups. #teacherspayteachers #sped #specialed",https://www.teacherspayteachers.com/Product/Empower-Teenage-Independence-Essential-AAC-Period-Support-Routine-Strips-SPED-15714918,Small Wins Studio,template_a,life_skills/ask_for_help/routine_strips_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\routine_strips_standalone\ask_help_routine_strips_template_b_pin_1000x1500.png,Why Help Routine Strips Helps SPED Learners,"Help Routine Strips supports structured routines, independence, and clear visual practice. Use in task boxes, centers, or small groups. #specialeducation #autismclassroom #printandgo",https://www.teacherspayteachers.com/Product/Empower-Teenage-Independence-Essential-AAC-Period-Support-Routine-Strips-SPED-15714918,Small Wins Studio,template_b,life_skills/ask_for_help/routine_strips_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\routine_strips_standalone\ask_help_routine_strips_template_c_pin_1000x1500.png,Small Wins With Help Routine Strips,Build confidence with Help Routine Strips: low-prep activities designed for differentiated support. Great for IEP-aligned practice. #spedteacher #differentiation #classroomcenters,https://www.teacherspayteachers.com/Product/Empower-Teenage-Independence-Essential-AAC-Period-Support-Routine-Strips-SPED-15714918,Small Wins Studio,template_c,life_skills/ask_for_help/routine_strips_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\story_standalone\ask_help_story_template_a_pin_1000x1500.png,Help Story | Low-Prep Differentiated Activities,"Try Help Story for printable, visual, and structured learning support. Perfect for SPED, autism support, and intervention groups. #teacherspayteachers #sped #specialed",https://www.teacherspayteachers.com/Product/Teen-Girls-Asking-for-Menstruation-Help-at-School-Social-Story-AAC-SpED-15714869,Small Wins Studio,template_a,life_skills/ask_for_help/story_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\story_standalone\ask_help_story_template_b_pin_1000x1500.png,Why Help Story Helps SPED Learners,"Help Story supports structured routines, independence, and clear visual practice. Use in task boxes, centers, or small groups. #specialeducation #autismclassroom #printandgo",https://www.teacherspayteachers.com/Product/Teen-Girls-Asking-for-Menstruation-Help-at-School-Social-Story-AAC-SpED-15714869,Small Wins Studio,template_b,life_skills/ask_for_help/story_standalone
c:\Users\mcewa\small-wins-automation\assets\marketing_public\ask_for_help\pins_1000x1500\life_skills\ask_for_help\story_standalone\ask_help_story_template_c_pin_1000x1500.png,Small Wins With Help Story,Build confidence with Help Story: low-prep activities designed for differentiated support. Great for IEP-aligned practice. #spedteacher #differentiation #classroomcenters,https://www.teacherspayteachers.com/Product/Teen-Girls-Asking-for-Menstruation-Help-at-School-Social-Story-AAC-SpED-15714869,Small Wins Studio,template_c,life_skills/ask_for_help/story_standalone
